year,naics,tot_emp,a_mean
2008,21,250,94750.0
2008,22,3310,86281.78247734139
2008,23,1020,81558.23529411765
2008,31-33,125680,95014.99681731382
2008,42,44680,93217.43061772606
2008,44-45,7040,85283.28125
2008,48-49,4180,86823.92344497607
2008,51,137910,90608.39533028787
2008,52,69730,89334.11587551986
2008,53,1180,85737.45762711864
2008,54,378770,91867.05309290599
2008,55,38140,87659.60409019403
2008,56,24960,88902.91666666667
2008,61,12630,70719.216152019
2008,62,8620,76694.33874709977
2008,71,370,80654.86486486487
2008,72,70,67930.0
2008,81,1860,82606.66666666667
2009,21,430,88100.46511627907
2009,22,3390,86328.37758112095
2009,23,1100,81407.54545454546
2009,31-33,126590,98869.83174026385
2009,42,43510,95910.70328660078
2009,44-45,7040,84777.86931818182
2009,48-49,3910,86038.46547314578
2009,51,136300,93449.96698459281
2009,52,67070,90882.01878634263
2009,53,1560,87852.82051282052
2009,54,388630,93626.86951599208
2009,55,39580,89517.42799393633
2009,56,21950,90151.58086560364
2009,61,13260,72515.38461538461
2009,62,9290,78406.78148546825
2009,71,220,77660.0
2009,72,80,71540.0
2009,81,1870,84558.55614973263
2010,21,230,95696.95652173914
2010,22,2760,87741.52173913043
2010,23,1040,84133.84615384616
2010,31-33,126110,99542.36063753866
2010,42,41540,95632.18103033221
2010,44-45,8230,91784.09477521264
2010,48-49,4520,88014.20353982301
2010,51,130830,94951.08690667278
2010,52,68860,91743.95294801045
2010,53,1820,90626.53846153847
2010,54,385240,94136.83521960337
2010,55,39810,90097.07611152976
2010,56,20870,91498.30857690464
2010,61,16160,75630.27846534654
2010,62,9710,79835.12873326468
2010,71,400,77795.0
2010,72,50,70630.0
2010,81,1960,85485.71428571429
2011,21,230,94253.04347826086
2011,22,2700,89816.22222222222
2011,23,1090,85681.28440366972
2011,31-33,130120,101656.41254226868
2011,42,46140,97017.3276983095
2011,44-45,9720,96237.65432098765
2011,48-49,4170,88743.7170263789
2011,51,135700,97594.16359616801
2011,52,72890,94549.74070517218
2011,53,1600,91137.25
2011,54,407770,95871.0692302033
2011,55,41760,92341.70977011495
2011,56,24310,89784.4385026738
2011,61,18110,76170.07730535616
2011,62,10640,82192.56578947368
2011,71,230,74527.82608695653
2011,72,40,72090.0
2011,81,1880,88692.55319148937
2012,21,220,97802.72727272728
2012,22,2180,90959.54128440368
2012,23,1100,87697.18181818182
2012,31-33,131370,102875.60934764406
2012,42,51470,96850.60034971828
2012,44-45,11030,100483.7352674524
2012,48-49,4380,91162.23744292237
2012,51,143140,99169.99091798239
2012,52,75020,96345.40255931752
2012,53,1370,89691.82481751825
2012,54,429690,97689.39654169285
2012,55,47080,92696.4422259983
2012,56,26790,92452.46733855916
2012,61,20090,75980.34345445495
2012,62,11490,82832.20191470844
2012,71,360,74301.66666666667
2012,72,40,75510.0
2012,81,1880,90505.9574468085
2013,21,270,106580.0
2013,22,2180,93796.97247706422
2013,23,970,87735.36082474227
2013,31-33,124180,104707.66468030278
2013,42,51510,98651.3453698311
2013,44-45,10140,100308.07692307692
2013,48-49,4100,92281.43902439025
2013,51,160100,105705.8357276702
2013,52,77320,98322.1365752716
2013,53,1040,92591.25
2013,54,449800,99021.22765673633
2013,55,48060,95614.25717852684
2013,56,31640,94401.21365360303
2013,61,20260,75292.71470878579
2013,62,12560,83761.0668789809
2013,71,550,95417.27272727272
2013,72,90,87910.0
2013,81,2210,97558.86877828055
2014,21,450,110280.0
2014,22,2570,96976.96498054474
2014,23,860,91866.51162790698
2014,31-33,130220,110169.46551988942
2014,42,49320,101021.26926196269
2014,44-45,5870,95343.01533219761
2014,48-49,4080,93950.07352941176
2014,51,180220,108422.68727111309
2014,52,79680,100830.48192771085
2014,53,1380,94700.0
2014,54,471680,100540.14140943013
2014,55,49270,97757.75116703876
2014,56,36570,98885.55920153132
2014,61,20720,77948.14671814672
2014,62,12410,84872.94923448832
2014,71,750,95754.0
2014,72,100,91800.0
2014,81,2890,100614.42906574394
2015,21,510,114330.0
2015,22,2630,99149.0494296578
2015,23,1130,93570.4424778761
2015,31-33,127160,112287.90657439447
2015,42,47380,102941.72224567329
2015,44-45,6350,99494.74015748031
2015,48-49,4380,94624.24657534246
2015,51,204990,112415.15781257622
2015,52,84660,103626.4469643279
2015,53,1540,95604.54545454546
2015,54,506260,102645.809663019
2015,55,52680,101110.09111617312
2015,56,41080,101239.66893865628
2015,61,20480,80806.5185546875
2015,62,12110,85881.61849710983
2015,71,1030,99182.91262135922
2015,72,120,86675.83333333333
2015,81,3320,108155.36144578313
2016,21,660,110052.12121212122
2016,22,2630,101396.65399239544
2016,23,1420,96421.12676056338
2016,31-33,131080,116144.24473603907
2016,42,47860,103755.21521103218
2016,44-45,8570,105442.24037339557
2016,48-49,5140,95914.43579766537
2016,51,215200,111805.31644981413
2016,52,94450,105569.39332980412
2016,53,2260,101547.0796460177
2016,54,533130,105358.83611877028
2016,55,57550,103167.9374456994
2016,56,45500,103893.18681318681
2016,61,21310,83475.72970436414
2016,62,12180,87592.29885057472
2016,71,700,94800.0
2016,72,120,77045.0
2016,81,3500,105656.91428571429
2017,21,490,108074.69387755102
2017,22,2470,100911.45748987854
2017,23,1870,96541.871657754
2017,31-33,134830,115790.81880887043
2017,42,50030,106986.11033379972
2017,44-45,8400,107548.16666666667
2017,48-49,4830,96140.93167701863
2017,51,230130,113870.46017468387
2017,52,103650,108799.9015918958
2017,53,2440,104133.97540983607
2017,54,536530,107352.60507334166
2017,55,60130,104723.74521869283
2017,56,46510,104616.49322726295
2017,61,21920,86112.5
2017,62,13580,90542.12076583211
2017,71,660,92259.09090909091
2017,72,160,78695.0
2017,81,3970,104714.33249370276
2018,11,30,101230.0
2018,21,570,110028.94736842105
2018,22,2320,103203.44827586207
2018,23,1600,99031.25
2018,31-33,144140,118153.34258359928
2018,42,49290,107543.49969567863
2018,44-45,2750,116930.0
2018,48-49,6050,99828.71074380165
2018,51,235520,114421.55867866847
2018,52,112260,111174.9296276501
2018,53,3070,109133.87622149837
2018,54,564310,108762.87643316617
2018,55,62660,107897.20395786785
2018,56,49730,106067.94892419063
2018,61,22280,88857.17235188509
2018,62,15660,95942.6245210728
2018,71,650,110830.0
2018,72,200,86111.5
2018,81,3940,98773.80710659898
2019,11,30,98020.0
2019,21,720,109490.0
2019,22,2360,103950.0
2019,23,2330,99580.0
2019,31-33,153470,119330.0
2019,42,49540,108900.0
2019,44-45,11750,116760.0
2019,48-49,7470,97980.0
2019,51,248350,117300.0
2019,52,129710,113250.0
2019,53,3200,112130.0
2019,54,605030,109930.0
2019,55,69940,108880.0
2019,56,57690,109040.0
2019,61,21190,90090.0
2019,62,16720,97690.0
2019,71,1100,105140.0
2019,72,280,75010.0
2019,81,5270,101490.0
